"","ANO","NIVEL","CODMUNRES","TN","TNRC","TNRCR","TGI_15","TGI_15_19","TGI_20_24","TGI_25_29","TGI_30_34","TGI_35_39","TGI_40_44","TGI_45_49","TGI_50","TGIF","IM_P25","IM_P50","IM_P75","IM_MD","IM_DP","EM_S","EM_FI","EM_FII","EM_M","EM_SI","EM_SC","TGRC_B","TGRC_PT","TGRC_A","TGRC_PD","TGRC_I","TGCC","TGSC","TGPRI","TGNPRI","TGU","TGG","TGD_22","TGD_22_27","TGD_28_31","TGD_32_36","TGD_37_41","TGD_42","TGD_PRT","TGD_AT","TGD_PST","DG_P25","DG_P50","DG_P75","DG_MD","DG_DP","TKC_NR","TKC_ID","TKC_IT","TKC_AD","TKC_MAD","TGPRG_S","TGPRG_N","TPV","TPC","TRAP_C","TRAP_P","TRAP_T","TGROB_1","TGROB_2","TGROB_3","TGROB_4","TGROB_5","TGROB_6","TGROB_7","TGROB_8","TGROB_9","TGROB_10","TNLOC_H","TNLOC_ES","TNLOC_D","TNLOC_O","TNLOC_AI","TRS_M","TRS_F","TRRC_B","TRRC_PT","TRRC_A","TRRC_PD","TRRC_I","TRP_BP","TRP_N","TRP_M","PESO_P25","PESO_P50","PESO_P75","PESO_MD","PESO_DP","TRPIG_P","TRPIG_A","TRPIG_G","TRAPG5_B","TRAPG5_N","APG5_MD","APG5_DP","TRAC","TRSAC"
"15",2015,"MUNICIPIO",130070,695,0,615,18,207,225,126,86,19,13,1,0,677,18,22,27,23.2215827338129,6.21630702231372,21,121,261,258,5,16,154,20,0,475,23,504,191,236,459,14,681,0,3,3,641,0,0,647,0,48,38,39,40,38.8255813953488,2.19204256519577,1,366,30,36,192,516,179,436,258,621,21,3,166,31,230,13,111,8,12,12,3,63,692,1,2,0,0,366,329,154,20,0,475,23,48,591,55,2940,3257.5,3600,3255.23919308357,556.100586131708,52,527,92,6,675,8.94419970631424,0.618203741448634,4,658
"16",2015,"MUNICIPIO",130080,725,0,654,29,259,207,114,66,30,16,3,0,695,18,21,26,22.6629834254144,6.67604126034447,21,113,281,275,9,13,13,2,0,529,180,397,328,262,463,10,715,0,2,4,666,0,0,672,0,53,38,39,40,39.1551246537396,1.91954182827232,6,252,57,61,348,559,166,592,132,710,12,0,223,21,301,32,86,3,9,8,0,36,649,5,41,6,24,371,353,13,2,0,529,180,45,647,33,2880,3200,3500,3197.6675862069,501.727227855587,66,573,73,2,658,9.67575757575758,0.684327168881951,6,718
"17",2015,"MUNICIPIO",130083,173,0,142,4,50,54,35,20,6,4,0,0,169,19,22,26,23.3757225433526,6.37608998191321,3,26,66,71,1,5,1,2,0,163,1,117,56,56,117,2,171,0,0,2,154,0,0,156,0,17,38,39,40,38.9226190476191,2.13608019711276,0,65,14,19,62,105,68,125,45,166,3,0,44,0,75,0,27,1,2,2,0,14,155,0,17,1,0,83,90,1,2,0,163,1,11,148,13,2986.25,3250,3596.25,3254.5988372093,500.545125760522,8,131,24,2,159,9.63354037267081,0.834336869868736,3,169
"18",2015,"MUNICIPIO",130090,219,0,213,6,80,65,41,17,8,2,0,0,213,18,21,26,22.2511415525114,5.82748439542772,7,41,87,76,4,4,24,5,1,184,2,156,63,78,141,2,217,0,0,1,207,0,0,208,0,11,38,39,40,38.9315068493151,1.7970064336722,3,65,23,27,96,211,8,135,84,212,5,2,58,14,76,12,35,0,4,2,2,16,210,1,8,0,0,113,106,24,5,1,184,2,9,192,18,2983,3350,3600,3308.3698630137,491.733980448741,14,172,30,2,216,9.68807339449541,0.701509205281967,0,219
"19",2015,"MUNICIPIO",130100,628,0,321,25,217,177,105,56,37,10,1,0,603,18,21,27,22.8152866242038,6.61646648788756,22,97,260,227,8,14,177,1,0,428,6,253,375,222,406,11,617,0,1,5,557,0,0,563,0,65,38,39,40,38.9630225080386,2.44690791031329,4,230,42,59,206,612,16,430,194,621,3,0,171,13,261,45,40,2,0,10,0,75,559,0,68,1,0,319,309,177,1,0,428,6,30,522,75,3000,3350,3700,3342.59489633174,546.022137176699,33,424,125,2,366,9.04891304347826,1.13059937471079,1,624
"20",2015,"MUNICIPIO",130110,419,0,343,8,116,120,85,50,27,13,0,0,411,19,23,28,24.1789976133652,6.79916529829823,9,54,188,147,7,7,7,2,0,396,10,153,266,120,299,3,416,0,2,3,386,0,0,391,0,28,38,39,40,38.9877750611247,2.07632480464318,20,138,50,41,135,145,274,311,108,397,2,0,81,19,185,15,52,1,1,2,0,32,378,0,39,2,0,221,198,7,2,0,396,10,29,349,41,3000,3280,3605,3277.15990453461,537.453432469008,34,309,61,4,377,9.65354330708661,0.885954312317682,4,409
"21",2015,"MUNICIPIO",130115,215,0,178,5,56,64,37,31,18,3,0,0,209,19,23,29,24.2803738317757,6.69635790928659,2,22,70,100,5,7,0,0,0,210,4,52,163,96,119,8,207,0,1,2,203,0,0,206,0,9,38,39,40,38.6854460093897,2.23598874612079,0,63,36,29,55,27,188,146,69,214,0,1,66,6,70,10,30,0,0,8,1,22,186,0,25,2,2,112,103,0,0,0,210,4,16,180,15,2910,3220,3610,3228.7345971564,589.997583277701,15,158,25,0,187,9.82352941176471,0.45894028583058,2,211
"22",2015,"MUNICIPIO",130120,1744,0,1736,50,516,507,347,197,97,29,1,0,1694,18,22,28,23.4891055045872,6.50185520127009,42,192,776,651,33,49,4,0,1,1731,8,1179,565,568,1176,22,1722,0,4,3,1727,0,0,1734,0,10,38,40,40,38.8938002296211,1.87049908449295,37,721,232,151,596,1724,20,1171,572,1715,27,1,405,47,711,56,244,6,16,20,1,235,1687,0,51,6,0,901,842,4,0,1,1731,8,115,1528,101,2945,3260,3560,3239.0498853211,518.15688886687,66,1522,132,11,1732,9.86115892139989,0.670178471945173,12,1732
"23",2015,"MUNICIPIO",130130,434,0,404,13,139,126,82,47,21,5,1,0,421,18,22,27,23.1428571428571,6.33133321430311,14,79,188,131,8,10,23,10,1,400,0,340,94,144,290,12,422,0,6,2,399,0,0,407,0,27,38,39,40,38.5648148148148,2.76378014829079,5,175,53,27,157,416,18,314,116,418,14,1,105,7,178,5,59,8,5,10,1,53,424,1,9,0,0,238,196,23,10,1,400,0,26,378,30,3000,3300,3600,3294.19124423963,536.334284281648,15,334,66,3,426,9.90675990675991,0.596466221929453,1,431
"24",2015,"MUNICIPIO",130140,825,0,705,25,250,263,144,75,48,17,1,2,798,18,22,27,23.36,6.74429640367196,148,125,235,292,5,12,105,3,0,610,107,519,306,242,583,9,816,1,3,3,782,0,0,789,0,36,38,39,40,38.9951515151515,2.05919103674276,32,323,87,56,294,821,4,588,237,786,17,4,159,49,389,51,83,6,9,6,4,50,705,1,41,3,75,422,403,105,3,0,610,107,60,713,39,2830,3160,3480,3146.7302955665,518.307962688068,112,611,73,11,707,8.88440111420613,0.702064392139392,8,817
